iter	Passed	Remaining
0	57	11379
1	60	5960
2	63	4146
3	65	3232
4	68	2681
5	70	2294
6	73	2033
7	76	1838
8	78	1672
9	81	1551
10	84	1458
11	87	1368
12	89	1288
13	91	1217
14	94	1159
15	96	1115
16	98	1062
17	102	1040
18	105	1000
19	106	962
20	109	934
21	112	910
22	115	892
23	119	876
24	122	858
25	126	845
26	128	823
27	130	803
28	133	785
29	136	771
30	139	761
31	141	745
32	144	729
33	147	719
34	150	710
35	154	702
36	157	693
37	160	683
38	163	675
39	166	666
40	170	661
41	174	658
42	177	647
43	180	639
44	185	637
45	187	628
46	192	625
47	195	618
48	199	613
49	202	606
50	205	600
51	207	591
52	210	584
53	213	578
54	216	571
55	219	564
56	221	556
57	224	549
58	226	541
59	229	534
60	232	529
61	235	524
62	237	517
63	240	510
64	242	504
65	246	500
66	249	495
67	252	489
68	254	484
69	257	478
70	260	473
71	262	467
72	265	462
73	268	456
74	270	450
75	272	444
76	274	438
77	276	433
78	279	428
79	282	423
80	285	420
81	288	415
82	291	410
83	293	405
84	295	399
85	297	394
86	299	389
87	302	384
88	303	378
89	305	373
90	306	367
91	308	361
92	309	356
93	311	350
94	312	345
95	313	339
96	314	334
97	316	329
98	317	323
99	318	318
100	319	313
101	320	308
102	322	303
103	323	298
104	324	293
105	325	288
106	327	284
107	328	279
108	329	275
109	330	270
110	332	266
111	333	261
112	334	257
113	335	253
114	336	248
115	337	244
116	339	240
117	340	236
118	341	232
119	342	228
120	343	224
121	345	220
122	346	216
123	347	212
124	348	209
125	349	205
126	350	201
127	352	198
128	353	194
129	354	190
130	355	187
131	356	183
132	357	180
133	358	176
134	359	173
135	361	169
136	362	166
137	363	163
138	364	160
139	365	156
140	367	153
141	368	150
142	369	147
143	370	144
144	371	141
145	373	138
146	374	134
147	375	131
148	376	128
149	377	125
150	378	122
151	380	120
152	381	117
153	382	114
154	383	111
155	384	108
156	385	105
157	386	102
158	387	100
159	388	97
160	390	94
161	391	91
162	392	89
163	393	86
164	394	83
165	395	81
166	397	78
167	398	75
168	399	73
169	400	70
170	401	68
171	402	65
172	403	62
173	404	60
174	405	57
175	406	55
176	407	52
177	408	50
178	410	48
179	411	45
180	412	43
181	413	40
182	414	38
183	415	36
184	416	33
185	417	31
186	418	29
187	420	26
188	421	24
189	422	22
190	423	19
191	424	17
192	426	15
193	427	13
194	428	10
195	429	8
196	430	6
197	431	4
198	432	2
199	434	0
